reviewer,comment_id,reviewer_concern,severity,new_experiment_or_revision,key_result,where_to_put_in_manuscript,where_to_put_in_SI,response_letter_bullet,status
R2,R2.7,"Does MLM provide advantage over GNN?",major,"GNN comparison","Not for donor annotation; yes for strict semantic field consistency (0.80 vs 0.50 AUROC)","Results: GNN comparison","SI strict vs plausible breakdown","Acknowledged: EGNN dominates donor task. CoordRep advantage is field-level semantic consistency not pointwise geometry prediction.",reframed
R2,R2.8,"Tokenizer sensitivity",moderate,"Factorized tokenizer ablation","Composite→factorized: metal 13.8%→67.8%; CN 13.8%→49.0%","Methods + Results","SI tokenizer audit","Tokenizer audit identified and fixed composite mismatch. Factorized default adopted.",resolved
R2,R2.9,"Statistical correlations vs chemistry",major,"Field ablation + strict decoy analysis","no_stereo: stereo AUROC 0.948→0.500; no_metal: metal AUROC 0.792→0.500; field ablations prove each field necessary for corresponding decoy type","Results: field ablation table","SI field ablation full table","Field ablation proves each CoordRep field contributes to corresponding decoy discrimination. Removing stereo tokens eliminates stereo-hard detection (0.948→0.500).",resolved
R2,R2.10,"No chemical insight",major,"CSD casebook 4 cases","ACUWOK identity ladder; AFOSIA boundary; AGOTIA grammar repair; CIJWUO stereo semantic","Results: CSD application section + casebook","SI casebook details","Four QC-verified CSD cases demonstrate chemical insight: identity linking across conformers boundary annotation grammar repair and stereo consistency checking.",resolved
R2,R2.11,"Standard molecular graph comparison",moderate,"CSD identity baselines","SMILES multiset recall=0.981 prec=0.535; WL recall=0.983 prec=0.800; CoordRep L3 recall=0.830 prec=0.816","Results: identity comparison table","SI full baseline table","Graph hashes are strong connectivity baselines. CoordRep provides auditable multi-resolution identity not just a single hash.",resolved
R2,R2.12,"Discovery / generated structures lack validation",critical,"Remove generation claim; add CSD curation","CSD application workflow replaces unsupported discovery claim","Abstract + Results: revise","–","De novo generation claim removed. Tool A reframed as donor annotation. CSD application and curation demonstrated instead.",reframed
R2,R2.13,"Electronic structure effects",moderate,"Explicit limitation statement","CoordRep does not model electronic structure / thermodynamic stability","Discussion: limitations","–","Explicitly stated: CoordRep is not an electronic-structure model. Future integration with DFT labels noted.",future_scope
R3,R3.1,"Missing literature: Pidko Corminboeuf Kulik hemilability/datasets",moderate,"Citation additions","References to coordination datasets ligand flexibility repeated examples isomerism","Introduction + Discussion","–","References added: Pidko Corminboeuf Kulik and hemilability/dataset literature. CoordRep positioned relative to existing coordination chemistry databases.",partially_resolved
R3,R3.2,"Geometry indices / Fey / Cundari",minor,"Citation additions","CShM/geometry descriptor references","CShM paragraph in Methods","–","References added. CoordRep builds on rather than replaces coordination geometry indices.",partially_resolved
R3,R3.3,"WL hash discussion",moderate,"CSD identity baselines including WL","WL recall=0.983 prec=0.800; CoordRep L3 recall=0.830 prec=0.816; L0–L3 hierarchy unique","Results: identity comparison; Discussion","SI full table","WL hash included as strong graph baseline. CoordRep provides L0–L3 hierarchy with geometry/boundary fields that WL cannot encode.",resolved
R3,R3.4,"Spin-state caveat",minor,"Text caveat","Metal-row geometry shifts may convolve spin state oxidation ligand field donor composition","Discussion: caveat paragraph","–","Caveat added: 3d metal geometry distributions may reflect spin-state effects not explicitly separated in CoordRep v1.",partially_resolved
R3,R3.5,"GitHub repo missing",moderate,"Operational fix","Repository URL + versioned release + README","Methods: data availability","–","Repository URL fixed. Code and scripts included. CSD raw data not redistributable due to CCDC license; derived statistics and anonymized excerpts provided.",partially_resolved
R4,R4.1,"Canonicalization claim too strong / InChI-like",critical,"CoordRep-ID L0–L3 + perturbation + CSD families","L0=21.5% L3=88.9% CSD; perturbation: L0 geometry-sensitive L3 robust; ACUWOK 12/1","Abstract + Results: revise to multi-resolution identity hierarchy","SI perturbation tables","Revised from InChI-like identifier to multi-resolution identity hierarchy. L0 is geometry-state identity; L3 is connectivity identity. CSD families validate hierarchy.",resolved
R4,R4.2,"Full CoordRep syntax insufficiently documented",moderate,"3 annotated examples","Pt CN4 monodentate; Pd bidentate; Ir octahedral multi-stereo annotated","Results or Methods: example box","SI full annotated examples","Three complete annotated CoordRep strings provided: monodentate Pt/CN4 bidentate Pd and octahedral Ir with multi-stereo multidentate ligands.",resolved
R4,R4.3,"Tool A ligand-SMILES ablation",major,"Tool A ablation","full=85.7% LigandFreq=86.2% no_lig=61.4% no_geom≈full shuffled=21.6%","Results: ablation table","SI ablation by CN/denticity","Ablation confirms donor identity is ligand-intrinsic. Removing SMILES drops 25 pts; removing geometry/stereo negligible. Shuffled control 21.6% confirms non-trivial learning.",resolved
R4,R4.4,"Multidentate ligand tracking",major,"Multidentate audit","76.1% multidentate; bidentate Top-1=86.7%; validator 0.46% error","Results: multidentate paragraph","SI coverage tables","76.1% of data is multidentate. Per-donor accuracy comparable across denticity. Validator error rate 0.46%.",resolved
R4,R4.5,"Tool A overpromotion / inverse design",critical,"Remove claim; add GNN comparison","Donor annotation + field attribution replaces inverse design; GNN baselines show complementarity","Abstract + Results + Discussion: revise throughout","–","Inverse ligand design claim removed. Tool A reframed as donor annotation and field attribution. GNN baselines demonstrate complementarity.",resolved
